nome,partido,score
Adriano Diogo,PT,16.55
Beto Custódio,PT,19.3
Alcides Amazonas,PC do B,19.06
José Eduardo Cardozo,PT,18.91
Augusto Campos,PT,19.82
Flávia Pereira,PT,20.71
Ana Martins,PC do B,17.0
Arselino Tatto,PT,18.96
Antonio Carlos Rodrigues,PR,18.63
Erasmo Dias,PP,18.0
Toninho Campanha,PDT,17.04
Antonio Paes - Baratão,PR,19.45
Devanir Ribeiro,PT,17.25
Atílio Francisco,PRB,20.14
Toninho Paiva,PR,17.44
Carlos Apolinario,PMDB,19.21
Carlos Giannazi,PSOL,17.08
Carlos Alberto Bezerra Jr.,PSDB,19.73
Domingos Dissei,PSD,19.17
Claudio Fonseca,PPS,21.8
Edivaldo Estima,PPS,17.97
Jooji Hato,PMDB,19.11
Eliseu Gabriel,PSB,18.68
Dalton Silvano,DEMOCRATAS,19.46
Natalini,PV,19.17
Rubens Calvo,PT,18.96
Myryam Athie,PDT,20.26
Gilson Barreto,PSDB,18.96
Havanir Nimtz,PRONA,17.09
José Mentor,PT,18.88
Humberto Martins,PMDB,15.89
Milton Leite,DEMOCRATAS,18.93
Ítalo Cardoso,PT,20.29
Vicente Cândido,PT,18.2
José Olímpio,PMDB,17.71
João Antonio,PT,18.36
Roberto Tripoli,PV,31.32
José Viviani Ferraz,PR,16.6
José Laurindo,PT,16.32
Ricardo Montoro,PSDB,17.59
Farhat,PTB,19.46
Lucila Pizani Gonçalves,PT,19.9
Marcos Zerbini,PSDB,17.0
Paulo Frange,PTB,19.75
Celso Cardoso,DEMOCRATAS,18.14
Carlos Neder,PT,19.8
Nabil Bonduki,PT,19.93
Raul Cortez,PR,18.31
Antonio Salim Curiati,PP,20.68
Goulart,PSD,18.52
Roger Lin,PSB,18.53
Vanderlei Jangrossi,PSL,16.8
Wadih Mutran,PDT,17.92
William Woo,PSDB,18.9
Aldaíza Sposati,PT,19.26
Odilon Guedes,PT,17.76
José Nogueira,PT,17.23
José Ferreira (Zelão),PT,19.15
Flávia Pereira,PT,20.71
Manoel Cruz,PRONA,24.8
Claudete Alves,PT,19.56
Tita Dias,PT,18.88
Zélia Lopes (D.Zélia),PT,17.0
José Américo,PT,20.1
Abou Anni,PV,19.05
Ademir da Guia,PR,18.97
Adilson Amadeu,PTB,18.53
Adolfo Quintas,PSDB,18.92
Agnaldo Timóteo,PR,19.45
Attila Russomanno,PP,19.34
Aurelio Miguel,PR,19.34
Aurélio Nomura,PSDB,19.66
Lenice Lemos,DEMOCRATAS,19.65
Claudinho de Souza,PSDB,18.3
Claudio Prado,PDT,21.83
Antonio Donato,PT,19.73
Chico Macena,PT,20.61
Tião Farias,PSDB,20.68
Jorge Borges,PP,19.09
Jorge Tadeu,DEMOCRATAS,19.56
José Anibal,PSDB,18.0
Netinho,PSDB,21.11
Mario Dias,DEMOCRATAS,17.49
Marta Costa,PSD,20.13
Noemi Nonato,PROS,19.95
Paulo Fiorilo,PT,18.53
Paulo Teixeira,PT,20.62
Soninha,PPS,18.18
Ushitaro Kamia,PSD,20.21
Juscelino Gadelha,PSB,19.07
José Police Neto,PSD,21.11
Senival Moura,PT,19.66
Alfredo Cavalcante,PT,19.87
Mara Gabrilli,PSDB,20.66
Ricardo Teixeira,PV,19.33
Rubens Calvo,PT,18.96
José Rolim,PSDB,20.6
Alfredinho,PT,19.87
Milton Ferreira,PSD,22.53
Floriano Pesaro,PSDB,21.27
Gabriel Chalita,PSB,23.33
Jamil Murad,PC do B,20.63
Juliana Cardoso,PT,20.21
Marcelo Aguiar,PSC,20.15
Marco Aurélio Cunha,PSD,20.94
José Olímpio,PP,17.71
Netinho de Paula,PDT,20.04
Sandra Tadeu,DEMOCRATAS,19.91
Penna,PV,23.45
Souza Santos,PSD,20.63
Quito Formiga,PR,20.16
Edir Sales,PSD,19.9
Anibal de Freitas,PSDB,19.89
Heida Li,PPS,16.33
Heida Li,PPS,16.33
David Soares,PSD,19.6
Fernando Estima,PSD,17.5
Oliveira,PSD,17.89
Andrea Matarazzo,PSDB,21.25
Ari Friedenbach,PHS,18.78
Conte Lopes,PTB,19.26
Coronel Telhada,PSDB,18.35
Calvo,PMDB,18.96
Eduardo Tuma,PSDB,19.54
George Hato,PMDB,19.53
Jair Tatto,PT,18.15
Jean Madeira ,PRB,18.96
Laércio Benko,PHS,18.47
Mario Covas Neto,PSDB,19.44
Nelo Rodolfo,PMDB,18.54
Ota,PROS,19.53
Pr. Edemilson Chaves,PP,17.19
Patrícia Bezerra,PSDB,20.51
Paulo Fiorilo,PT,18.53
Reis,PT,19.69
Ricardo Nunes,PMDB,18.86
Ricardo Young,RS,21.72
Toninho Vespoli,PSOL,20.63
Vavá,PT,18.12
Orlando Silva,PC do B,18.83
Marquito,PTB,17.61
Alessandro Guedes,PT,19.74
Coronel Camilo,PSD,20.16
Valdecir Cabrabom,PTB,18.13
Jonas Camisa Nova,DEMOCRATAS,19.76
Salomão Pereira,PSDB,18.33
